@timestamp,level,endpoint,event,@message
2026-02-12 09:03:22.723,,,,Pool pre-ping on connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe6692bae30>>
2026-02-12 09:03:22.121,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe663371b70>> being returned to pool
2026-02-12 09:03:22.121,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe663371b70>> rollback-on-return
2026-02-12 09:03:22.121,debug,,Using cached model data,"{""cache_expires_in_seconds"": 119.52944, ""event_type"": ""cache_hit"", ""event"": ""Using cached model data"", ""level"": ""debug"", ""timestamp"": ""2026-02-12T09:03:22.121217Z"", ""logger"": ""models"", ""caller"": ""direct_model_service.py:122""}"
2026-02-12 09:03:22.119,,,,"Col ('?column?',)"
2026-02-12 09:03:22.119,,,,"Row (1,)"
2026-02-12 09:03:22.119,,,,ROLLBACK
2026-02-12 09:03:22.112,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe663371b70>> checked out from pool
2026-02-12 09:03:22.112,,,,"Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe663371b70>> is fresh, skipping pre-ping"
2026-02-12 09:03:22.112,,,,BEGIN (implicit)
2026-02-12 09:03:22.112,,,,SELECT 1
2026-02-12 09:03:22.112,,,,[cached since 3.188e+04s ago] ()
2026-02-12 09:03:22.103,,,,Created new connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe663371b70>>
2026-02-12 09:03:22.048,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe6681b6e30>> exceeded timeout; recycling
2026-02-12 09:03:22.048,,,,Hard-closing connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe6681b6e30>>
2026-02-12 09:03:21.731,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe6681b6110>> rollback-on-return
2026-02-12 09:03:21.731,debug,,Using cached model data,"{""cache_expires_in_seconds"": 119.919426, ""event_type"": ""cache_hit"", ""event"": ""Using cached model data"", ""level"": ""debug"", ""timestamp"": ""2026-02-12T09:03:21.731233Z"", ""logger"": ""models"", ""caller"": ""direct_model_service.py:122""}"
2026-02-12 09:03:21.730,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe6681b6110>> being returned to pool
2026-02-12 09:03:21.727,,,,"Row (1,)"
2026-02-12 09:03:21.727,,,,ROLLBACK
2026-02-12 09:03:21.726,,,,"Col ('?column?',)"
2026-02-12 09:03:21.719,,,,SELECT 1
2026-02-12 09:03:21.719,,,,[cached since 3.188e+04s ago] ()
2026-02-12 09:03:21.718,,,,BEGIN (implicit)
2026-02-12 09:03:21.699,,,,Connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe6681b6110>> checked out from pool
2026-02-12 09:03:21.699,,,,Pool pre-ping on connection <AdaptedConnection <asyncpg.connection.Connection object at 0x7fe6681b6110>>
